Pos: ?{E6POS: X 650.4747, Y -145.6312, Z 288.9565, A 59.65491, B 31.71768, C 99.24422, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 44860
Pos: ?{E6POS: X 650.4747, Y -145.6312, Z 288.9565, A 59.65491, B 31.71768, C 99.24422, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 45857
Pos: ?{E6POS: X 650.4756, Y -145.6313, Z 237.4715, A 59.65489, B 31.71769, C 99.24422, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 46849
Pos: ?{E6POS: X 650.4765, Y -145.6315, Z 277.1783, A 59.65485, B 31.71771, C 99.24422, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 47846
Pos: ?{E6POS: X 650.4747, Y -145.6312, Z 451.5849, A 59.65491, B 31.71768, C 99.24422, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 48840
Pos: ?{E6POS: X 650.4754, Y -145.6315, Z 568.4716, A 59.65477, B 31.71774, C 99.24426, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 49837
Pos: ?{E6POS: X 650.3912, Y -145.5845, Z 576.7377, A 59.72518, B 31.74421, C 99.33406, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 50825
Pos: ?{E6POS: X 650.3910, Y -145.5851, Z 576.7366, A 59.72520, B 31.74415, C 99.33427, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 51822
Pos: ?{E6POS: X 650.3908, Y -145.5863, Z 576.7366, A 59.72518, B 31.74418, C 99.33430, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 52813
Pos: ?{E6POS: X 650.3911, Y -145.5850, Z 576.7381, A 59.72522, B 31.74418, C 99.33412, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 53813
Pos: ?{E6POS: X 650.3909, Y -145.5845, Z 576.7377, A 59.72520, B 31.74411, C 99.33416, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 54822
Pos: ?{E6POS: X 679.1702, Y -150.4931, Z 643.9118, A 55.13533, B 28.39627, C 90.19226, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 55813
Pos: ?{E6POS: X 704.6738, Y -154.8430, Z 840.8309, A 46.53851, B 16.71148, C 68.12977, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 56818
Pos: ?{E6POS: X 651.2709, Y -145.7345, Z 1031.097, A 43.18225, B 3.045281, C 48.88278, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 57809
Pos: ?{E6POS: X 527.9538, Y -124.7013, Z 1184.349, A 44.49698, B -10.95221, C 30.12453, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 58802
Pos: ?{E6POS: X 355.6480, Y -95.31249, Z 1275.308, A 50.67518, B -23.65913, C 9.682520, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 59793
Pos: ?{E6POS: X 163.5083, Y -62.54076, Z 1290.127, A 62.24825, B -33.13710, C -14.29479, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 60779
Pos: ?{E6POS: X -19.69205, Y -31.29374, Z 1227.044, A 78.59321, B -37.21083, C -42.27476, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 61766
Pos: ?{E6POS: X -163.2375, Y -6.810329, Z 1096.635, A 95.41379, B -34.46262, C -70.61213, S 1, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 62759
Pos: ?{E6POS: X -238.1984, Y 5.975155, Z 945.1119, A 106.7075, B -27.29745, C -92.37958, S 1, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 63753
Pos: ?{E6POS: X -242.4829, Y 6.705931, Z 928.5560, A 107.6099, B -26.39543, C -94.37747, S 1, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 64739
Pos: ?{E6POS: X -118.4441, Y -14.45038, Z 974.6895, A 100.9719, B -31.71025, C -80.77203, S 1, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 65736
Pos: ?{E6POS: X 76.52353, Y -47.70446, Z 988.4416, A 88.14797, B -36.53049, C -58.13377, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 66728
